,acc_x_left,acc_y_left,acc_z_left,gyr_x_left,gyr_y_left,gyr_z_left,acc_x_right,acc_y_right,acc_z_right,gyr_x_right,gyr_y_right,gyr_z_right,left_phase
8901,-3.2829526072,7.925028451199999,1.1389835575999998,0.9375,104.625,-96.8125,-0.1435693559999999,-2.0386848552,-1.7898313048,-333.9375,16.5,-2.375,0
8902,-3.2829526072,7.925028451199999,1.1389835575999998,-2.9375,109.5,-106.125,-0.1435693559999999,-2.5938196984,-2.63210486,-324.25,7.0,-0.8125,0
8903,-3.4839497055999997,7.858029418399999,1.5026925928,-2.9375,109.5,-106.125,0.2967100023999999,-2.5938196984,-2.63210486,-304.375,7.375,1.375,0
8904,-3.6562329328,7.848458128,1.7324035624,-11.5625,113.5,-114.375,0.5072783912,-2.9766713143999994,-3.8476587408,-277.5625,8.3125,4.25,0
8905,-3.8476587408,7.733602643199999,1.7419748527999996,-20.6875,115.125,-121.875,0.5934200047999999,-3.2925238976,-4.240081647199999,-277.5625,8.3125,4.25,0
8906,-3.8476587408,7.733602643199999,1.7419748527999996,-32.1875,115.125,-127.4375,0.4689932295999999,-3.5605200288,-4.115654872,-254.625,8.5625,5.5625,0
8907,-3.8955151928,7.695317481599999,1.5792629159999998,-42.8125,114.0625,-130.25,0.4689932295999999,-3.5605200288,-4.115654872,-231.5625,6.375,7.5,0
8908,-4.077369710399999,7.427321350399999,1.3112667848,-42.8125,114.0625,-130.25,0.1818545175999999,-4.06779842,-3.82851616,-208.125,0.375,9.125,0
8909,-4.106083581599999,7.006184572799999,1.0336993632,-56.125,111.875,-132.6875,0.0,-4.6133619728,-3.4552358344,-186.25,-10.5625,9.9375,0
8910,-4.163511324,6.5659052144,0.6317051664,-71.625,108.75,-133.625,-0.1627119367999999,-5.292923591199999,-3.2255248648,-186.25,-10.5625,9.9375,0
8911,-4.163511324,6.5659052144,0.6317051664,-91.125,105.0,-133.8125,-0.0765703232,-5.857629724799999,-2.8331019584,-163.4375,-21.8125,10.125,0
8912,-4.0390845488,5.9437713384,0.1914258079999999,-91.125,105.0,-133.8125,-0.0765703232,-5.857629724799999,-2.8331019584,-142.0625,-32.25,9.9375,0
8913,-3.9338003544,5.254638429599999,-0.3637090351999999,-110.625,100.4375,-133.5,-0.0095712904,-6.2404813408,-2.057827436,-121.3125,-39.4375,9.25,0
8914,-3.82851616,4.6325045536,-0.8327022648,-128.6875,95.25,-132.3125,0.4498506487999999,-6.460621019999999,-0.8422735551999999,-121.3125,-39.4375,9.25,0
8915,-3.82851616,4.6325045536,-0.8327022648,-147.0625,89.9375,-130.75,1.0624132344,-6.671189408799999,0.5264209719999999,-102.3125,-45.5,8.5625,0
8916,-3.6466616424,3.8955151928,-1.1581261384,-162.375,84.4375,-129.0625,1.0624132344,-6.671189408799999,0.5264209719999999,-84.8125,-47.625,7.75,0
8917,-3.2638100264,3.1010980896,-1.3112667848,-162.375,84.4375,-129.0625,1.722832272,-6.6807606992,1.9716858224,-67.875,-45.0,7.3125,0
8918,-2.8522445392,2.4693929232,-1.3782658176,-173.625,79.9375,-127.0625,2.4981067944,-6.632904247199999,3.9816568064,-45.5625,-37.4375,7.25,1
8919,-2.536391956,1.9429719512,-1.3686945272,-179.8125,76.8125,-125.125,3.158525832,-6.632904247199999,6.613761666399999,-45.5625,-37.4375,7.25,1
8920,-2.536391956,1.9429719512,-1.3686945272,-182.125,76.4375,-123.125,3.82851616,-6.5659052144,9.4851487864,-24.3125,-29.9375,8.75,1
8921,-1.91425808,1.5696916255999998,-1.2442677519999998,-184.9375,77.125,-121.9375,3.82851616,-6.5659052144,9.4851487864,-1.5625,-21.125,10.0625,1
8922,-1.5218351735999998,1.148554848,-1.1868400095999998,-184.9375,77.125,-121.9375,4.555934230399999,-6.441478439199999,11.858828805599998,21.875,-13.9375,12.0625,1
8923,-1.2825529135999998,0.8135596839999999,-1.2442677519999998,-183.875,79.25,-119.875,5.2067819776,-6.355336825599999,13.648660110399998,44.25,-9.625,14.75,1
8924,-1.2825529135999998,0.8135596839999999,-1.2442677519999998,-184.75,82.6875,-118.8125,6.183053598399999,-6.7573310224,14.4143633424,44.25,-9.625,14.75,1
8925,-0.9188438784,0.5934200047999999,-1.4261222696,-183.375,87.3125,-117.375,6.183053598399999,-6.7573310224,14.4143633424,62.3125,-10.6875,16.0,1
8926,-0.6029912951999999,0.4211367775999999,-1.67497582,-183.375,87.3125,-117.375,7.2071816712,-7.4368926408,14.012369145599996,83.1875,-15.375,17.0625,1
8927,-0.2201396791999999,0.2584248408,-2.1152551784,-183.875,92.375,-115.875,8.5375910368,-8.2695949056,11.9736842904,101.5,-22.5,17.4375,1
8928,0.3445664544,0.1818545175999999,-2.4693929232,-182.0625,99.5,-114.9375,10.116853952799998,-9.188438784,8.5854474888,101.5,-32.375,17.4375,1
8929,0.3445664544,0.1818545175999999,-2.4693929232,-181.0625,107.5625,-113.9375,12.4522488104,-10.4614204072,4.929214556,106.9375,-32.375,17.4375,1
8930,0.9379864592,0.0861416136,-2.7661029256,-178.125,114.4375,-114.625,12.4522488104,-10.4614204072,4.929214556,92.0,-45.25,16.5625,1
8931,1.4548361407999997,-0.1531406464,-3.0436703471999995,-178.125,114.4375,-114.625,15.9266272256,-12.2129665504,1.8951154992,51.375,-57.5625,15.75,1
8932,2.0195422744,-0.1722832272,-3.2638100264,-177.3125,120.875,-115.0625,20.1092811304,-14.012369145599996,-1.4548361407999997,-9.6875,-67.0625,16.4375,1
8933,2.0195422744,-0.4785645199999999,-3.4552358344,-176.6875,125.125,-116.9375,29.2785773336,-16.5391898112,-5.934200047999999,-9.6875,-67.0625,16.4375,1
8934,2.63210486,-0.4785645199999999,-3.4552358344,-176.1875,126.8125,-119.5,29.2785773336,-16.5391898112,-13.4763768832,-89.125,-78.625,18.9375,1
8935,2.8331019584,-0.5072783912,-3.6945180944,-176.1875,127.375,-122.75,42.1519629216,-25.7659137568,-13.4763768832,-156.9375,-90.5625,18.875,1
8936,2.8139593776,-0.4498506487999999,-3.6945180944,-172.9375,127.375,-122.75,47.4640290936,-41.6542558208,-18.376877568,-154.5625,-96.625,13.9375,1
8937,2.3162522768,-0.1339980656,-3.5988051904,-168.8125,125.75,-125.375,47.4640290936,-51.3595442864,-20.0135682264,-78.875,-85.75,2.5,1
8938,2.3162522768,-0.1339980656,-3.5988051904,-160.8125,120.8125,-127.375,47.4640290936,-42.5635284088,-21.8321134024,-78.875,-85.75,2.5,1
8939,1.3782658176,0.7561319415999999,-3.4839497055999997,-149.0,113.125,-128.9375,47.4640290936,-42.5635284088,-21.8321134024,42.0,-49.1875,-11.6875,1
